"Name","Directory","SizeMB","CreationTime","LastWriteTime","LastAccessTime","Attributes"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\openssl-3.5.0-ha4e3fda_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\miniforge_console_shortcut-1.0-h57928b3_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\mamba-2.1.1-hbfb34a1_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\menuinst-2.2.0-py312h275cf98_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\libsqlite-3.49.2-h67fdade_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\libexpat-2.7.0-he0c23c2_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\libffi-3.4.6-h537db12_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\libcurl-8.13.0-h88aaa65_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\krb5-1.21.3-hdf4eb48_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\libarchive-3.7.7-h5343c79_4\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\libmambapy-2.1.1-py312h259b449_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\libsolv-0.7.32-hbb528cf_2\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\libmamba-2.1.1-h00a3e12_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\libiconv-1.18-h135ad9c_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\liblzma-5.8.1-h2466b09_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\reproc-14.2.5.post0-h2466b09_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\zstd-1.5.7-hbeecb71_2\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
