"Name","Directory","Length","LastWriteTime","LastAccessTime","Attributes","Owner"
"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\IEDownloadHistory","0","2025-09-22 7:32:51 PM","2025-09-22 7:32:51 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"IEDownloadHistory",,,"2025-09-22 7:32:51 PM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"MSHist012025091520250922",,,"2025-09-22 12:11:32 AM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\History\History.IE5\MSHist012025091520250922","0","2025-09-22 12:11:32 AM","2025-09-22 12:11:32 AM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"INetCache",,,"2025-09-19 3:11:30 AM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\INetCookies\Low\ESE","0","2025-09-18 11:42:15 PM","2025-09-18 11:42:15 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"ESE",,,"2025-09-18 11:42:15 PM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\INetCookies\DNTException","0","2025-09-18 11:39:09 PM","2025-09-18 11:39:09 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"DNTException",,,"2025-09-18 11:39:09 PM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"IECompatUaCache",,,"2025-09-18 11:39:09 PM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
